Period,MCP-Price,MCP-Buy Quantity,MCP-Sell Quantity,A1-Price,A1-Buy Quantity,A1-Sell Quantity,A2-Price,A2-Buy Quantity,A2-Sell Quantity,E1-Price,E1-Buy Quantity,E1-Sell Quantity,E2-Price,E2-Buy Quantity,E2-Sell Quantity,N1-Price,N1-Buy Quantity,N1-Sell Quantity,N2-Price,N2-Buy Quantity,N2-Sell Quantity,N3-Price,N3-Buy Quantity,N3-Sell Quantity,S1-Price,S1-Buy Quantity,S1-Sell Quantity,S2-Price,S2-Buy Quantity,S2-Sell Quantity,S3-Price,S3-Buy Quantity,S3-Sell Quantity,W1-Price,W1-Buy Quantity,W1-Sell Quantity,W2-Price,W2-Buy Quantity,W2-Sell Quantity,W3-Price,W3-Buy Quantity,W3-Sell Quantity
08:30 - 08:45,5102.25,7033.50,7033.50,5102.25,0.00,109.00,5102.25,78.10,150.00,5102.25,710.00,963.60,5102.25,455.00,448.60,5102.25,1005.20,692.30,5102.25,56.00,1084.70,5102.25,0.00,200.00,5102.25,40.40,1320.60,5102.25,17.30,82.30,5102.25,0.00,5.00,5102.25,38.80,870.50,5102.25,4532.70,671.50,5102.25,100.00,435.40
08:45 - 09:00,5269.16,7079.20,7079.20,5269.16,0.00,106.00,5269.16,83.10,150.00,5269.16,760.00,933.60,5269.16,455.00,448.60,5269.16,981.00,508.20,5269.16,56.00,1082.70,5269.16,0.00,200.00,5269.16,34.10,1591.80,5269.16,14.50,82.30,5269.16,0.00,5.00,5269.16,38.80,870.70,5269.16,4606.70,664.90,5269.16,50.00,435.40
09:00 - 09:15,5102.16,7053.20,7053.20,5102.16,0.00,116.00,5102.16,52.60,90.00,5102.16,860.00,913.60,5102.16,455.00,447.90,5102.16,1091.70,484.30,5102.16,176.50,1011.20,5102.16,0.00,200.00,5102.16,41.90,1565.20,5102.16,1.00,82.30,5102.16,0.00,5.00,5102.16,38.80,920.80,5102.16,4285.70,691.50,5102.16,50.00,525.40
09:15 - 09:30,5469.28,7174.30,7174.30,5469.28,0.00,111.00,5469.28,77.60,90.00,5469.28,860.00,887.60,5469.28,455.00,447.90,5469.28,1091.70,412.00,5469.28,176.50,931.20,5469.28,0.00,200.00,5469.28,33.00,1869.40,5469.28,0.00,82.30,5469.28,0.00,5.00,5469.28,38.80,921.00,5469.28,4391.70,691.50,5469.28,50.00,525.40
09:30 - 09:45,5500.05,7287.70,7287.70,5500.05,0.00,110.00,5500.05,122.60,90.00,5500.05,910.00,858.60,5500.05,455.00,447.90,5500.05,1031.20,484.30,5500.05,176.50,862.20,5500.05,0.00,200.00,5500.05,32.90,1969.40,5500.05,0.00,82.30,5500.05,0.00,5.00,5500.05,38.80,921.10,5500.05,4470.70,691.50,5500.05,50.00,565.40
09:45 - 10:00,5500.22,7336.70,7336.70,5500.22,0.00,105.00,5500.22,147.60,90.00,5500.22,936.00,848.60,5500.22,455.00,447.90,5500.22,962.30,484.30,5500.22,176.50,811.20,5500.22,0.00,200.00,5500.22,31.80,2069.40,5500.22,0.00,82.30,5500.22,0.00,5.00,5500.22,38.80,921.10,5500.22,4538.70,691.50,5500.22,50.00,580.40
10:00 - 10:15,5500.63,7203.10,7203.10,5500.63,0.00,70.00,5500.63,218.00,90.00,5500.63,931.00,848.60,5500.63,455.00,447.60,5500.63,824.50,444.30,5500.63,166.90,734.10,5500.63,0.00,200.00,5500.63,10.20,2074.40,5500.63,0.00,82.30,5500.63,0.00,5.00,5500.63,38.80,1000.90,5500.63,4508.70,690.50,5500.63,50.00,515.40
10:15 - 10:30,6469.17,7151.20,7151.20,6469.17,0.00,70.00,6469.17,228.00,90.00,6469.17,962.00,853.60,6469.17,455.00,447.60,6469.17,675.60,274.30,6469.17,166.90,713.60,6469.17,0.00,200.00,6469.17,10.20,2074.40,6469.17,0.00,82.30,6469.17,0.00,105.00,6469.17,38.80,1034.50,6469.17,4564.70,690.50,6469.17,50.00,515.40
10:30 - 10:45,6599.62,7548.20,7548.20,6599.62,0.00,70.00,6599.62,238.00,90.00,6599.62,1004.00,853.60,6599.62,455.00,447.60,6599.62,675.60,274.30,6599.62,166.90,694.60,6599.62,0.00,200.00,6599.62,10.20,2324.40,6599.62,0.00,82.30,6599.62,0.00,105.00,6599.62,38.80,1076.10,6599.62,4909.70,814.90,6599.62,50.00,515.40
10:45 - 11:00,8068.81,7694.20,7694.20,8068.81,0.00,70.00,8068.81,253.00,90.00,8068.81,1152.00,851.60,8068.81,455.00,447.60,8068.81,645.60,274.30,8068.81,6.90,672.60,8068.81,0.00,200.00,8068.81,10.20,2324.40,8068.81,0.00,82.30,8068.81,0.00,125.00,8068.81,38.80,1076.00,8068.81,5132.70,965.00,8068.81,0.00,515.40
