Delivery Date,Portfolio Name,Portfolio Code,Total Injection (MWh),Total Drawal (MWh),Absolute Sum (MWh),Invoice,NLDC Application Charges,CTU Charges,NLDC Sch. & Oper. Charges,STU Charges,Distribution Charges,SLDC Charges,ALDC Charges,Fees,IGST,SGST,CGST,UTGST,Final Obligation
19/09/2018,Tata_Power_Solar_Systems_Limited_Unit_2_Electronic_City_Bangalore,S1KA0TPT0514,0.00000000000,11.20000000000,11.20000000000,-56927.45,14.53,3069.92,11.20,896.00,0.00,1000.00,0.00,224.00,40.32,0.00,0.00,0.00,-62183.42,
19/09/2018,Tata_Sponge_Iron_Ltd_Joda,E2OR0TPT0059,-8.00000000000,0.00000000000,8.00000000000,40871.19,14.53,2796.00,8.00,500.00,0.00,2000.00,0.00,160.00,28.80,0.00,0.00,0.00,35363.86,
19/09/2018,Tata_Steel_Limited,E1DV0TPT0211,-465.00000000000,0.00000000000,465.00000000000,2910134.76,14.53,74911.50,200.00,37200.00,0.00,1000.00,0.00,9300.00,1674.00,0.00,0.00,0.00,2785834.73,
19/09/2018,Tata_Steel_Ltd_Power_Distribution_Licensee,E1DV0TPT0504,0.00000000000,1395.00000000000,1395.00000000000,-7392915.09,14.53,224734.50,200.00,0.00,0.00,1000.00,0.00,27900.00,5022.00,0.00,0.00,0.00,-7651786.12,
19/09/2018,The_India_Cements_Ltd_CDP_048,S1AP0TPT0234,0.00000000000,0.00000000000,0.00000000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
19/09/2018,Time_Technoplast_Ltd_Unit_I,N2UA0TPT0235,0.00000000000,4.80000000000,4.80000000000,-25337.55,14.53,954.24,4.80,490.75,0.00,1000.00,0.00,96.00,17.28,0.00,0.00,0.00,-27915.15,
19/09/2018,Time_Technoplast_Ltd_Unit_II,N2UA0TPT0236,0.00000000000,7.20000000000,7.20000000000,-38006.33,14.53,1431.36,7.20,736.13,0.00,1000.00,0.00,144.00,25.92,0.00,0.00,0.00,-41365.47,
19/09/2018,Ugar_Sugar_Belgaum,S1KA0TPT0024,0.00000000000,26.90000000000,26.90000000000,-142991.12,14.53,7373.29,26.90,2152.00,0.00,1000.00,0.00,538.00,96.84,0.00,0.00,0.00,-154192.68,
September - 2018,Agni_Steels_Pvt_Ltd_EEDC_HTSC_50,S2TN0TPT0445,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
September - 2018,Amara_Raja_Batteries_Ltd_TPT_145,S1AP0TPT0047,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
September - 2018,Aurigene_Discovery_Technologies_Ltd_Bangalore,S1KA0TPT0525,0.000000,0.700000,0.700000,-2765.24,14.53,191.87,0.70,56.00,133.00,1000.00,0.00,14.00,2.52,0.00,0.00,0.00,-4177.86,
September - 2018,BST_Textile_Mills_Pvt_Ltd,N2UA0TPT0265,0.000000,2.200000,2.200000,-10888.31,14.53,437.36,2.20,224.93,0.00,1000.00,0.00,44.00,7.92,0.00,0.00,0.00,-12619.25,
September - 2018,Bannari_Amman_Spinning_Mills_HTSC_171,S2TN0TPT0064,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
September - 2018,Bannari_Amman_Spinning_Mills_HTSC_279,S2TN0TPT0066,0.000000,0.000000,0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
September - 2018,Bannari_Amman_Spinning_Mills_Ltd_CBE_MEDC_HTSC_340,S2TN0TPT0360,0.000000,2.450000,2.450000,-7893.13,14.53,302.33,2.45,310.05,0.00,163.45,0.00,49.00,8.82,0.00,0.00,0.00,-8743.76,
September - 2018,Bhubaneshwar_Power_Private_Limited_Odisha,E2OR0TPT0550,-172.800000,0.000000,172.800000,1005523.10,14.53,60393.60,172.80,10800.00,0.00,2000.00,0.00,3456.00,622.08,0.00,0.00,0.00,928064.09,
